순위,제목,변동,변동폭
01,테스와 보낸 여름,불변,0
02,뮬란,불변,0
03,테넷,불변,0
04,기기괴괴 성형수,불변,0
05,다만 악에서 구하소서,불변,0
06,오! 문희,상승,1
07,뉴 뮤턴트,강등,1
08,오케이 마담,불변,0
09,도망친 여자,상승,1
10,악마는 사라지지 않는다,상승,2
11,검객,상승,2
12,에이바,강등,1
13,설계,강등,4
14,더 렌탈: 소리없는 감시자,상승,1
15,디바,상승,1
16,비독: 파리의 황제,상승,2
17,소원택시,강등,3
18,극장판 짱구는 못말려: 신혼여행 허리케인~ 사라진 아빠!,상승,2
19,지니어스 독,불변,0
20,후쿠오카,상승,1
21,붉은 바캉스 검은 웨딩,강등,4
22,소리도 없이,상승,10
23,매지컬: 공주를 웃겨라,강등,1
24,아웃포스트,상승,1
25,담보,상승,1
26,국제수사,상승,5
27,죽지않는 인간들의 밤,상승,3
28,공포분자,불변,0
29,반도,불변,0
30,야누스: 욕망의 두 얼굴,강등,7
31,나를 구하지 마세요,강등,7
32,어트랙션,상승,2
33,드라이브,강등,6
34,군달라: 슈퍼히어로의 탄생,상승,6
35,노브레싱,강등,2
36,그린랜드,상승,6
37,#살아있다,강등,1
38,남매의 여름밤,상승,1
39,생생활활,강등,4
40,리얼파이터,상승,1
41,아무도 없다,강등,3
42,이별의 목적,상승,1
43,뮬란,상승,3
44,소년시절의 너,불변,0
45,범죄도시 2,강등,8
46,듄,강등,1
47,살로메,상승,1
48,가버나움,강등,1
49,그린 북,불변,0
50,경호원,상승,1
