순위,제목,변동,변동폭
01,테스와 보낸 여름,불변,0
02,뮬란,불변,0
03,테넷,불변,0
04,기기괴괴 성형수,불변,0
05,다만 악에서 구하소서,불변,0
06,오! 문희,불변,0
07,뉴 뮤턴트,불변,0
08,도망친 여자,상승,1
09,오케이 마담,강등,1
10,검객,상승,1
11,악마는 사라지지 않는다,강등,1
12,디바,상승,3
13,더 렌탈: 소리없는 감시자,상승,1
14,에이바,강등,2
15,비독: 파리의 황제,상승,1
16,극장판 짱구는 못말려: 신혼여행 허리케인~ 사라진 아빠!,상승,2
17,아웃포스트,상승,7
18,후쿠오카,상승,2
19,지니어스 독,불변,0
20,매지컬: 공주를 웃겨라,상승,3
21,소리도 없이,상승,1
22,국제수사,상승,4
23,죽지않는 인간들의 밤,상승,4
24,담보,상승,1
25,공포분자,상승,3
26,어트랙션,상승,6
27,설계,강등,14
28,그린랜드,상승,8
29,반도,불변,0
30,군달라: 슈퍼히어로의 탄생,상승,4
31,남매의 여름밤,상승,7
32,#살아있다,상승,5
33,리얼파이터,상승,7
34,소년시절의 너,상승,10
35,뮬란,상승,8
36,나를 구하지 마세요,강등,5
37,드라이브,강등,4
38,파이널 킬,상승,21
39,이별의 목적,상승,3
40,소원택시,강등,23
41,붉은 바캉스 검은 웨딩,강등,20
42,살로메,상승,5
43,다시 만난 날들,상승,10
44,아무도 없다,강등,3
45,가버나움,상승,3
46,범죄도시 2,강등,1
47,프란시스 하,상승,21
48,그린 북,상승,1
49,"그대, 고맙소 : 김호중 생애 첫 팬미팅 무비",상승,7
50,야누스: 욕망의 두 얼굴,강등,20
